license_plate,acAvailable,standingCapacity,depotID,vehicle_label,id,seatingCapacity,vehicleType
GJ05BZ2789,No,18,4027,H298,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8849,Yes,18,4027,H30,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ2812,No,18,4027,H299,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2838,No,18,4027,H300,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2852,No,18,4027,H301,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2871,No,18,4027,H302,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2900,No,18,4027,H306,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2909,No,18,4027,H307,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2946,No,18,4027,H308,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2949,No,18,4027,H310,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2963,No,18,4027,H311,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2876,No,18,4027,H303,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2879,No,18,4027,H304,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2888,No,18,4027,H305,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2947,No,18,4027,H309,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8598,Yes,18,4027,H31,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ2976,No,18,4027,H312,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2983,No,18,4027,H313,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3698,No,18,4027,H319,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2985,No,18,4027,H314,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ2998,No,18,4027,H315,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3511,No,18,4027,H316,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3563,No,18,4027,H317,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3675,No,18,4027,H318,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8912,Yes,18,4027,H32,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ3750,No,18,4027,H321,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3892,No,18,4027,H322,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3900,No,18,4027,H323,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3736,No,18,4027,H325,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4185,No,18,4027,H326,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3703,No,18,4027,H320,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3917,No,18,4027,H324,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3659,No,18,4027,H327,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3623,No,18,4027,H328,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4447,No,18,4027,H329,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8636,Yes,18,4027,H33,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ4371,No,18,4027,H330,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4401,No,18,4027,H331,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4152,No,18,4027,H332,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4017,No,18,4027,H333,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4201,No,18,4027,H334,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4151,No,18,4027,H335,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4098,No,18,4027,H336,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4186,No,18,4027,H337,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4369,No,18,4027,H338,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4001,No,18,4027,H339,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8827,Yes,18,4027,H34,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ4153,No,18,4027,H340,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4456,No,18,4027,H341,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4289,No,18,4027,H342,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3828,No,18,4027,H343,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3679,No,18,4027,H345,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3927,No,18,4027,H344,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3929,No,18,4027,H346,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3823,No,18,4027,H347,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3733,No,18,4027,H348,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3321,No,18,4027,H349,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8728,Yes,18,4027,H35,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ3837,No,18,4027,H350,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3596,No,18,4027,H351,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3598,No,18,4027,H352,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3607,No,18,4027,H353,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3970,No,18,4027,H354,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3567,No,18,4027,H355,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3643,No,18,4027,H356,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3630,No,18,4027,H357,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3555,No,18,4027,H358,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3615,No,18,4027,H359,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8758,Yes,18,4027,H36,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ3502,No,18,4027,H361,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3794,No,18,4027,H360,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3962,No,18,4027,H362,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3827,No,18,4027,H364,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3873,No,18,4027,H363,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3754,No,18,4027,H365,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3753,No,18,4027,H366,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3989,No,18,4027,H368,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3909,No,18,4027,H369,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3662,No,18,4027,H370,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3863,No,18,4027,H372,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3783,No,18,4027,H367,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8962,Yes,18,4027,H37,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ3538,No,18,4027,H371,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4139,No,18,4027,H373,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ3591,No,18,4027,H374,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4564,No,18,4027,H375,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4730,No,18,4027,H376,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4806,No,18,4027,H377,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5309,No,18,4027,H383,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5021,No,18,4027,H384,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ-05-BZ-4392,No,18,4027,H386,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4860,No,18,4027,H378,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4954,No,18,4027,H379,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8868,Yes,18,4027,H38,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ4961,No,18,4027,H380,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4981,No,18,4027,H381,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5061,No,18,4027,H382,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5381,No,18,4027,H385,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ4286,No,18,4027,H387,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5546,No,18,4027,H388,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8812,Yes,18,4027,H39,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ5519,No,18,4027,H390,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5598,No,18,4027,H391,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5817,No,18,4027,H389,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5983,No,18,4027,H392,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5695,No,18,4027,H393,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5643,No,18,4027,H394,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5626,No,18,4027,H395,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5798,No,18,4027,H397,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5992,No,18,4027,H398,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5607,No,18,4027,H396,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BZ5946,No,18,4027,H399,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8726,Yes,18,4027,H40,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BZ0000,No,18,4027,H400,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX8643,Yes,18,4027,H41,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8882,Yes,18,4027,H42,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8595,Yes,18,4027,H45,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8631,Yes,18,4027,H46,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8672,Yes,18,4027,H43,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
GJ05BX8713,Yes,18,4027,H44,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,BRT Bus Mini Bus
